w_mom_52w_no_cta,w_inst_flow_cta,w_pead_no_cta,cagr,vol,sharpe,mdd,calmar
0.25,0.6,0.15,8.827521685112426,12.854788237089318,0.570022745607794,-26.08764441379101,0.33837940846992814
0.25,0.65,0.1,8.588946085966963,12.419108191660461,0.5708095924896808,-25.48292330627444,0.3370471269225294
0.25,0.7,0.05,8.338770766036262,12.063538837373596,0.5668959049436907,-24.89081135962342,0.3350140196539749
0.25,0.75,0.0,8.077090269441678,11.795327194883969,0.5576013416816775,-24.311654241877545,0.3322312085011743
0.3,0.0,0.7,10.764618611086817,21.204033302183785,0.43692718640149764,-37.35631287710508,0.28816062887416904
0.3,0.05,0.65,10.662263114163984,20.312603269428905,0.45106296778579197,-36.027332712412395,0.2959492782681229
0.3,0.1,0.6,10.547470462699993,19.43961749189535,0.4654140168381405,-34.77550962846722,0.30330167912380035
0.3,0.15,0.55,10.420295663961209,18.58767490112975,0.47990379170119013,-33.76847144082751,0.3085806143822854
0.3,0.2,0.5,10.280797451085677,17.75980409739558,0.4944197246169711,-32.75979645843081,0.31382360583744984
0.3,0.25,0.45,10.12903824682363,16.959530603013278,0.5088017144348599,-31.749845530779176,0.31902637878991447
0.3,0.3,0.4,9.965084125592828,16.19094711004005,0.5228282241959524,-30.73898468453262,0.3241839061329538
0.3,0.35,0.35,9.789004773879718,15.45878105526369,0.5362004121959748,-29.727584915557426,0.3292902804478008
0.3,0.4,0.3,9.600873449013303,14.768449764885277,0.5485256460887743,-28.716021974310724,0.3343385604594612
0.3,0.45,0.25,9.400766936345928,14.126087871388723,0.5593032556698382,-27.704676144721297,0.33932058571047763
0.3,0.5,0.2,9.188765504869846,13.538525103989219,0.5679175128614489,-26.704016553166234,0.3440967573763863
0.3,0.55,0.15,8.964952861303232,13.013186342375645,0.5736452752539664,-26.08185673578496,0.3437237215172298
0.3,0.6,0.1,8.729416102678789,12.557883138504392,0.5756874803614227,-25.471884692726142,0.34270789963066994
0.3,0.65,0.05,8.482245667470046,12.180471764597991,0.5732327780409654,-24.874455235008185,0.34100226868615696
0.3,0.7,-0.0,8.22353528528832,11.888372859432863,0.5655555528739588,-24.289916921417554,0.3385575715179678
0.35,0.0,0.65,10.764785745697502,20.580453307218054,0.4501740368589511,-36.15438285494196,0.297744972964628
0.35,0.05,0.6,10.65333506840238,19.703316407746062,0.4645580915913164,-35.151268167069695,0.3030711443401808
0.35,0.1,0.55,10.529477735205894,18.8465474277339,0.47910513953969314,-34.14606759700109,0.3083657497395294
0.35,0.15,0.5,10.393271509339176,18.013052927718444,0.4937126174572123,-33.139134782251,0.31362531271956173
0.35,0.2,0.45,10.244777856726417,17.206215590787068,0.5082336560637273,-32.130828787185294,0.31884573923011694
0.35,0.25,0.4,10.084061908461806,16.42996310054886,0.5224638580092152,-31.12151390386122,0.32402221625891675
0.35,0.3,0.35,9.911192421620886,15.68883594671846,0.5361259720087903,-30.11155944601719,0.32914909104555934
0.35,0.35,0.3,9.726241738437146,14.988045656108358,0.5488535281505866,-29.10133953636165,0.3342197264247705
0.35,0.4,0.25,9.529285743874038,14.333509869010697,0.5601758269433712,-28.091232887318963,0.3392263266656331
0.35,0.45,0.2,9.320403821623625,13.731844416878621,0.5695086242028131,-27.081622575397844,0.3441597266070274
0.35,0.5,0.15,9.099678808563993,13.190286212307493,0.5761572331518434,-26.079785328701423,0.3489169367720823
